Country,Year,Value
Austria,2000,0.0
Austria,2001,0.0
Austria,2002,0.0
Austria,2003,0.0
Austria,2004,0.0
Austria,2005,0.0
Austria,2006,0.0
Austria,2007,0.0
Austria,2008,0.0
Austria,2009,0.0
Austria,2010,0.0
Austria,2011,0.0
Austria,2012,0.0
Austria,2013,0.0
Austria,2014,0.0
Austria,2015,0.0
Austria,2016,0.0
Austria,2017,0.0
Austria,2018,0.0
Austria,2019,38.0
Austria,2020,168.0
Austria,2021,0.0
Belgium,2000,0.0
Belgium,2001,0.0
Belgium,2002,0.0
Belgium,2003,0.0
Belgium,2004,0.0
Belgium,2005,0.0
Belgium,2006,0.0
Belgium,2007,0.0
Belgium,2008,0.0
Belgium,2009,0.0
Belgium,2010,0.0
Belgium,2011,2180.0
Belgium,2012,0.0
Belgium,2013,0.0
Belgium,2014,0.0
Belgium,2015,109.0
Belgium,2016,54.0
Belgium,2017,0.0
Belgium,2018,166.0
Belgium,2019,315.0
Belgium,2020,0.0
Belgium,2021,659.0
Bulgaria,2000,0.0
Bulgaria,2001,0.0
Bulgaria,2002,0.0
Bulgaria,2003,0.0
Bulgaria,2004,0.0
Bulgaria,2005,0.0
Bulgaria,2006,1596.0
Bulgaria,2007,67598.0
Bulgaria,2008,5730.0
Bulgaria,2009,1564.0
Bulgaria,2010,28.0
Bulgaria,2011,11592.0
Bulgaria,2012,16700.0
Bulgaria,2013,2992.0
Bulgaria,2014,0.0
Bulgaria,2015,3287.0
Bulgaria,2016,11483.0
Bulgaria,2017,5214.0
Bulgaria,2018,2025.0
Bulgaria,2019,13828.0
Bulgaria,2020,8844.0
Bulgaria,2021,3887.0
Croatia,2000,0.0
Croatia,2001,0.0
Croatia,2002,0.0
Croatia,2003,0.0
Croatia,2004,0.0
Croatia,2005,0.0
Croatia,2006,2708.0
Croatia,2007,17189.0
Croatia,2008,3216.0
Croatia,2009,2208.0
Croatia,2010,330.0
Croatia,2011,15392.0
Croatia,2012,33070.0
Croatia,2013,1017.0
Croatia,2014,304.0
Croatia,2015,7866.0
Croatia,2016,9111.0
Croatia,2017,67343.0
Croatia,2018,1289.0
Croatia,2019,11957.0
Croatia,2020,27477.0
Croatia,2021,9607.0
Cyprus,2000,0.0
Cyprus,2001,0.0
Cyprus,2002,0.0
Cyprus,2003,0.0
Cyprus,2004,356.0
Cyprus,2005,0.0
Cyprus,2006,291.0
Cyprus,2007,2526.0
Cyprus,2008,1947.0
Cyprus,2009,0.0
Cyprus,2010,1123.0
Cyprus,2011,939.0
Cyprus,2012,2349.0
Cyprus,2013,2857.0
Cyprus,2014,436.0
Cyprus,2015,197.0
Cyprus,2016,2738.0
Cyprus,2017,652.0
Cyprus,2018,442.0
Cyprus,2019,625.0
Cyprus,2020,3421.0
Cyprus,2021,6199.0
Czechia,2000,0.0
Czechia,2001,0.0
Czechia,2002,0.0
Czechia,2003,0.0
Czechia,2004,0.0
Czechia,2005,0.0
Czechia,2006,0.0
Czechia,2007,0.0
Czechia,2008,0.0
Czechia,2009,0.0
Czechia,2010,0.0
Czechia,2011,0.0
Czechia,2012,0.0
Czechia,2013,0.0
Czechia,2014,0.0
Czechia,2015,0.0
Czechia,2016,0.0
Czechia,2017,145.0
Czechia,2018,0.0
Czechia,2019,52.0
Czechia,2020,0.0
Czechia,2021,0.0
Denmark,2000,0.0
Denmark,2001,0.0
Denmark,2002,0.0
Denmark,2003,0.0
Denmark,2004,0.0
Denmark,2005,0.0
Denmark,2006,0.0
Denmark,2007,0.0
Denmark,2008,0.0
Denmark,2009,0.0
Denmark,2010,0.0
Denmark,2011,0.0
Denmark,2012,0.0
Denmark,2013,0.0
Denmark,2014,0.0
Denmark,2015,0.0
Denmark,2016,0.0
Denmark,2017,131.0
Denmark,2018,463.0
Denmark,2019,108.0
Denmark,2020,0.0
Denmark,2021,230.0
Estonia,2000,0.0
Estonia,2001,0.0
Estonia,2002,0.0
Estonia,2003,0.0
Estonia,2004,0.0
Estonia,2005,0.0
Estonia,2006,0.0
Estonia,2007,0.0
Estonia,2008,0.0
Estonia,2009,0.0
Estonia,2010,0.0
Estonia,2011,0.0
Estonia,2012,0.0
Estonia,2013,0.0
Estonia,2014,0.0
Estonia,2015,0.0
Estonia,2016,0.0
Estonia,2017,0.0
Estonia,2018,441.0
Estonia,2019,0.0
Estonia,2020,0.0
Estonia,2021,0.0
