Country,Year,Value
Austria,1990,100
Austria,1991,104.75
Austria,1992,96.5
Austria,1993,96.9
Austria,1994,97.26
Austria,1995,101.68
Austria,1996,105.92
Austria,1997,105.45
Austria,1998,104.68
Austria,1999,102.65
Austria,2000,103.26
Austria,2001,108.1
Austria,2002,110.17
Austria,2003,117.16
Austria,2004,117
Austria,2005,118.92
Austria,2006,116
Austria,2007,112.78
Austria,2008,112.05
Austria,2009,103.39
Austria,2010,109.19
Austria,2011,106.41
Austria,2012,102.82
Austria,2013,103.25
Austria,2014,98.68
Austria,2015,101.6
Austria,2016,103.05
Austria,2017,106.17
Austria,2018,102.66
Belgium,1990,100
Belgium,1991,101.4
Belgium,1992,101.14
Belgium,1993,100.49
Belgium,1994,103.59
Belgium,1995,105.26
Belgium,1996,108.03
Belgium,1997,102.55
Belgium,1998,106.33
Belgium,1999,102.5
Belgium,2000,103.26
Belgium,2001,101.89
Belgium,2002,101.44
Belgium,2003,101.83
Belgium,2004,102.34
Belgium,2005,100.19
Belgium,2006,98.38
Belgium,2007,96.17
Belgium,2008,96.33
Belgium,2009,87.61
Belgium,2010,92.63
Belgium,2011,85.76
Belgium,2012,83.61
Belgium,2013,83.48
Belgium,2014,79.77
Belgium,2015,82.81
Belgium,2016,81.96
Belgium,2017,82.14
Belgium,2018,82.67
Bulgaria,1990,100
Bulgaria,1991,81.91
Bulgaria,1992,76.65
Bulgaria,1993,75.97
Bulgaria,1994,72.21
Bulgaria,1995,73.68
Bulgaria,1996,73.53
Bulgaria,1997,70.64
Bulgaria,1998,66.67
Bulgaria,1999,59.43
Bulgaria,2000,58.36
Bulgaria,2001,61.41
Bulgaria,2002,58.86
Bulgaria,2003,63.4
Bulgaria,2004,62.49
Bulgaria,2005,63.1
Bulgaria,2006,63.63
Bulgaria,2007,67.42
Bulgaria,2008,66.12
Bulgaria,2009,57.18
Bulgaria,2010,59.74
Bulgaria,2011,64.88
Bulgaria,2012,59.93
Bulgaria,2013,54.78
Bulgaria,2014,57.74
Bulgaria,2015,60.93
Bulgaria,2016,58.52
Bulgaria,2017,60.88
Bulgaria,2018,57.16
Cyprus,1990,100
Cyprus,1991,110.2
Cyprus,1992,116.94
Cyprus,1993,119.4
Cyprus,1994,123.76
Cyprus,1995,123.94
Cyprus,1996,128.84
Cyprus,1997,130.09
Cyprus,1998,135.85
Cyprus,1999,140.5
Cyprus,2000,144.93
Cyprus,2001,146.31
Cyprus,2002,149.39
Cyprus,2003,156.52
Cyprus,2004,158.48
Cyprus,2005,159.6
Cyprus,2006,162.99
Cyprus,2007,168.15
Cyprus,2008,171
Cyprus,2009,166.42
Cyprus,2010,161.52
Cyprus,2011,156.65
Cyprus,2012,147.73
Cyprus,2013,135.68
Cyprus,2014,141.56
Cyprus,2015,142.01
Cyprus,2016,151
Cyprus,2017,155.75
Cyprus,2018,153.81
Czechia,1990,100
Czechia,1991,90.72
Czechia,1992,87.48
Czechia,1993,83.6
Czechia,1994,79.86
Czechia,1995,79.42
Czechia,1996,80.86
Czechia,1997,78.59
Czechia,1998,75.53
Czechia,1999,70.68
Czechia,2000,75.77
Czechia,2001,75.78
Czechia,2002,73.85
Czechia,2003,75.53
Czechia,2004,76.16
Czechia,2005,75.13
Czechia,2006,75.76
Czechia,2007,76.68
Czechia,2008,74.28
Czechia,2009,69.75
Czechia,2010,71.07
Czechia,2011,70.28
Czechia,2012,68.14
Czechia,2013,65.46
Czechia,2014,64.41
Czechia,2015,65.13
Czechia,2016,66.06
Czechia,2017,65.56
Czechia,2018,64.82
Germany,1990,100
Germany,1991,96.25
Germany,1992,92.36
Germany,1993,91.73
Germany,1994,90.27
Germany,1995,90.08
Germany,1996,91.57
Germany,1997,88.83
Germany,1998,86.87
Germany,1999,84.31
Germany,2000,84.26
Germany,2001,85.42
Germany,2002,83.73
Germany,2003,83.57
Germany,2004,82.33
Germany,2005,80.56
Germany,2006,81.24
Germany,2007,79.2
Germany,2008,79.44
Germany,2009,74.05
Germany,2010,76.64
Germany,2011,74.73
Germany,2012,75.25
Germany,2013,76.68
Germany,2014,73.49
Germany,2015,73.8
Germany,2016,74.17
Germany,2017,73.22
Germany,2018,70.44
Denmark,1990,100
Denmark,1991,114.57
Denmark,1992,106.4
Denmark,1993,109.52
Denmark,1994,115.09
Denmark,1995,110.99
Denmark,1996,129.17
Denmark,1997,116.07
Denmark,1998,110.72
Denmark,1999,107.41
Denmark,2000,101.37
Denmark,2001,103.59
Denmark,2002,102.47
Denmark,2003,109.45
Denmark,2004,101.42
Denmark,2005,95.48
Denmark,2006,106.07
Denmark,2007,99.77
Denmark,2008,94.84
Denmark,2009,90.58
Denmark,2010,90.89
Denmark,2011,83.78
Denmark,2012,77.52
Denmark,2013,79.88
Denmark,2014,74.35
Denmark,2015,70.66
Denmark,2016,73.74
Denmark,2017,70.67
Denmark,2018,70.69
Estonia,1990,100
Estonia,1991,92.28
Estonia,1992,67.34
Estonia,1993,52.64
Estonia,1994,54.34
Estonia,1995,49.92
Estonia,1996,51.61
Estonia,1997,50.74
Estonia,1998,46.96
Estonia,1999,43.71
Estonia,2000,42.86
Estonia,2001,43.76
Estonia,2002,42.4
Estonia,2003,47.13
Estonia,2004,48.04
Estonia,2005,47.42
Estonia,2006,45.67
Estonia,2007,54.98
Estonia,2008,49.72
Estonia,2009,41.18
Estonia,2010,52.3
Estonia,2011,52.48
Estonia,2012,49.89
Estonia,2013,54.46
Estonia,2014,52.5
Estonia,2015,45.22
Estonia,2016,48.98
Estonia,2017,52.26
Estonia,2018,49.98
Greece,1990,100
Greece,1991,99.73
Greece,1992,100.99
